State,Prevalence,95% CI
Alabama,36.1,"(34.6, 37.7)"
Alaska,30.5,"(27.8, 33.4)"
Arizona,31.4,"(29.7, 33.2)"
Arkansas,37.4,"(35.5, 39.4)"
California,26.2,"(25.1, 27.2)"
Colorado,23.8,"(22.7, 24.9)"
Connecticut,29.1,"(27.8, 30.5)"
Delaware,34.4,"(32.1, 36.6)"
District of Columbia,23.8,"(21.7, 25.9)"
Florida,27,"(25.6, 28.5)"
Georgia,33.1,"(31.3, 35.0)"
Guam,33.6,"(30.5, 37.0)"
Hawaii,25,"(23.7, 26.3)"
Idaho,29.5,"(27.6, 31.4)"
Illinois,31.6,"(30.1, 33.1)"
Indiana,35.3,"(34.0, 36.7)"
Iowa,33.9,"(32.8, 35.1)"
Kansas,35.2,"(34.1, 36.4)"
Kentucky,36.5,"(34.7, 38.2)"
Louisiana,35.9,"(34.1, 37.7)"
Maine,31.7,"(30.3, 33.1)"
Maryland,32.3,"(31.1, 33.4)"
Massachusetts,25.2,"(23.9, 26.5)"
Michigan,36,"(34.7, 37.3)"
Minnesota,30.1,"(29.2, 31.1)"
Mississippi,40.8,"(39.0, 42.7)"
Missouri,34.8,"(33.2, 36.4)"
Montana,28.3,"(27.0, 29.7)"
Nebraska,34.1,"(33.0, 35.2)"
Nevada,30.6,"(28.2, 33.1)"
New Hampshire,31.8,"(30.0, 33.6)"
New Jersey,,
New Mexico,31.7,"(30.0, 33.5)"
New York,27.1,"(26.0, 28.2)"
North Carolina,34,"(32.2, 35.8)"
North Dakota,34.8,"(33.0, 36.7)"
Ohio,34.8,"(33.5, 36.1)"
Oklahoma,36.8,"(35.2, 38.4)"
Oregon,29,"(27.5, 30.4)"
Pennsylvania,33.2,"(31.7, 34.7)"
Puerto Rico,32.5,"(31.0, 34.0)"
Rhode Island,30,"(28.2, 31.9)"
South Carolina,35.4,"(33.8, 36.9)"
South Dakota,33,"(30.6, 35.5)"
Tennessee,36.5,"(34.8, 38.3)"
Texas,34,"(32.2, 35.7)"
Utah,29.2,"(28.2, 30.3)"
Vermont,26.6,"(25.0, 28.3)"
Virginia,31.9,"(30.6, 33.2)"
Washington,28.3,"(27.3, 29.4)"
West Virginia,39.7,"(38.0, 41.5)"
Wisconsin,34.2,"(32.4, 36.1)"
Wyoming,29.7,"(27.7, 31.7)"